                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4053,                 3.8607,                 1.4645,                0.00145,                  0.435,                0.00329,                0.00156,                  1.222,                  4.047,                 1.5283,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.4405,                 3.8718,                   1.47,                0.00142,                  0.425,                0.00325,                0.00152,                 1.2293,                 4.0479,                 1.5327,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.3932,                 3.8379,                 1.4644,                0.00287,                   0.86,                 0.0601,                0.05192,                 1.0707,                 3.6373,                 1.1402,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.0829,                 2.9835,                 1.0615,                0.00338,                      1,                0.37581,                0.27348,                0.95217,                 3.1902,                0.93022,             0.00021347,             0.00021347,             0.00021347
                      5,                0.99993,                  1.574,                0.96055,                      1,                 0.1512,                0.92302,                0.62266,                0.91263,                 2.8414,                0.89202,             0.00026891,             0.00026891,             0.00026891
                      6,                 0.9757,                 1.3012,                0.94776,                      1,                0.22869,                 0.9018,                0.64249,                0.92237,                 2.9426,                0.91171,             0.00032317,             0.00032317,             0.00032317
                      7,                0.96144,                 1.1689,                 0.9312,                      1,                0.24485,                0.76372,                0.52118,                0.98587,                 3.0204,                0.94201,             0.00037624,             0.00037624,             0.00037624
                      8,                0.94732,                 1.0156,                0.93301,                      1,                0.17089,                0.49725,                0.35597,                 1.0017,                 3.2011,                0.97962,             0.00042812,             0.00042812,             0.00042812
                      9,                0.92818,                0.94372,                  0.929,                      1,                 0.3176,                0.48282,                0.33919,                 1.1108,                 3.2794,                 1.0142,             0.00047882,             0.00047882,             0.00047882
                     10,                0.90452,                0.90017,                0.92145,                      1,                0.14798,                0.50336,                0.36084,                 1.0029,                 3.0987,                0.95622,             0.00052832,             0.00052832,             0.00052832
                     11,                0.92567,                0.86511,                0.92568,                      1,                0.22783,                0.63577,                0.46249,                0.97966,                 2.9655,                0.93227,             0.00057664,             0.00057664,             0.00057664
                     12,                0.89961,                0.84825,                0.92192,                      1,                0.24232,                0.84534,                0.59363,                0.93731,                 2.9047,                0.91829,             0.00062377,             0.00062377,             0.00062377
                     13,                0.88323,                0.82634,                0.92268,                      1,                 0.1501,                 0.7642,                0.54763,                0.89582,                 2.8077,                0.90624,             0.00066971,             0.00066971,             0.00066971
                     14,                0.87056,                0.79743,                0.92702,                      1,                0.22583,                0.93015,                0.67734,                0.91064,                  2.664,                0.91341,             0.00071447,             0.00071447,             0.00071447
                     15,                0.89811,                0.79327,                 0.9285,                      1,                0.23998,                0.96223,                0.71405,                0.91223,                 2.6627,                0.92064,             0.00075803,             0.00075803,             0.00075803
                     16,                0.86928,                0.76982,                0.93097,                      1,                0.32703,                0.97655,                0.71811,                0.95973,                 2.5412,                 0.9328,             0.00080041,             0.00080041,             0.00080041
                     17,                0.88488,                0.75416,                 0.9329,                      1,                0.35941,                0.94474,                0.71512,                0.93225,                 2.6154,                0.92806,              0.0008416,              0.0008416,              0.0008416
                     18,                 0.8413,                0.73396,                0.91928,                      1,                0.42099,                0.90923,                0.67546,                0.97734,                 2.5341,                0.92832,              0.0008816,              0.0008816,              0.0008816
                     19,                0.85462,                0.70509,                 0.9178,                0.95676,                 0.4425,                0.73334,                0.56079,                0.94058,                 2.4775,                0.92905,             0.00092042,             0.00092042,             0.00092042
                     20,                0.84949,                0.70186,                0.92728,                      1,                0.47352,                0.84201,                0.63082,                0.98105,                 2.4124,                0.94563,             0.00095804,             0.00095804,             0.00095804
                     21,                0.83974,                 0.7021,                0.92275,                      1,                0.62243,                0.94463,                0.68755,                0.98423,                 2.3197,                0.94369,             0.00099448,             0.00099448,             0.00099448
                     22,                0.84713,                0.66861,                0.91892,                0.99221,                0.63696,                0.96078,                0.70895,                0.96818,                 2.1296,                0.93769,              0.0010297,              0.0010297,              0.0010297
                     23,                0.88262,                0.68407,                0.92612,                0.97952,                0.71727,                0.97197,                0.72243,                0.96941,                 2.0174,                0.94141,              0.0010638,              0.0010638,              0.0010638
                     24,                0.81905,                0.64951,                0.91968,                0.99421,                0.85844,                0.99367,                0.72944,                0.93476,                 1.7851,                0.92816,              0.0010967,              0.0010967,              0.0010967
                     25,                 0.8257,                0.64913,                0.92269,                0.98897,                0.89689,                0.99319,                0.71303,                0.97972,                 1.7107,                0.94241,              0.0011284,              0.0011284,              0.0011284
                     26,                0.85631,                0.65259,                0.92744,                      1,                0.74586,                0.97697,                0.71934,                0.97985,                 1.7727,                  0.955,              0.0011588,              0.0011588,              0.0011588
                     27,                0.86158,                0.65669,                0.92756,                0.99406,                 0.8368,                 0.9932,                0.72749,                0.98537,                 1.6148,                0.96194,              0.0011882,              0.0011882,              0.0011882
                     28,                 0.8482,                0.63687,                0.92384,                0.97621,                0.82052,                0.97917,                0.71004,                0.94275,                 1.6187,                0.95973,              0.0012163,              0.0012163,              0.0012163
                     29,                0.83648,                0.62153,                0.93362,                      1,                0.75973,                0.97846,                0.71957,                0.98466,                 1.6023,                0.98295,              0.0012432,              0.0012432,              0.0012432
